;Sec;Wind;Rpm;Lambda;Cp;Power;Torque;LoadTorque;JTorque;
440;44;5;200,919114084618;4,19262065260178;0,438576315773243;100,581432686657;4,79802209743157;1,11696657863987;0,116052077649897;
450;45;5;208,13102079335;4,34424854982181;0,444295757278158;101,893107759027;4,69094282200804;1,14884998669708;0,111736989907595;
460;46;5;215,048821213319;4,48977615406918;0,447120978384309;102,541033276875;4,56775704436579;1,17882032883714;0,106965173990705;
470;47;5;221,647902938626;4,62867365127332;0,447240074280112;102,56834627896;4,43186770148481;1,2068588079871;0,101844316624845;
480;48;5;227,91037719176;4,76055257542267;0,444903505914311;102,032486531522;4,28658164845339;1,23297677079728;0,0964785038937936;
490;49;5;233,824711159858;4,88515852886803;0,440404740158269;101,000756616361;4,13500425910494;1,25721072476905;0,0909649762669655;
500;50;5;239,385191276676;5,00236024112403;0,434061583282695;99,5460410210221;3,97996290641612;1,27961738805619;0,0853917904196297;
510;51;5;244,591273886322;5,11213615435522;0,426199462498165;97,7429719905632;3,82395808872549;1,3002690162686;0,0798363485160429;
520;52;5;249,446874648712;5,21455962496375;0,41713744255037;95,6647226264193;3,66913908390046;1,31924916781191;0,0743646964099618;
530;53;5;253,959640262545;5,3097836718608;0,407177333744632;93,3805089619631;3,51729994036605;1,33664899754663;0,0690314583859646;
540;54;5;258,140237059586;5,39802601442795;0,396595898068512;90,9538025441542;3,369891226943;1,35256411152771;0,0638802638227798;
550;55;5;262,001681920085;5,47955495179814;0,385639909115196;88,4411974950629;3,22804309010682;1,36709197387781;0,0589445251400704;
560;56;5;265,558732573943;5,554676457411;0,37452366740546;85,8918406852107;3,09259562978199;1,3803298290561;0,0542484410154049;
570;57;5;268,827347155569;5,62372270931196;0,363428501335903;83,347317282927;2,96413324735651;1,39237308649891;0,0498081192143314;
580;58;5;271,824217073367;5,68704215207107;0,352503775655417;80,8418820345263;2,84302032138397;1,40331410712147;0,0456327356344595;
590;59;5;274,566372843053;5,74499109095581;0,34186896377778;78,4029345206372;2,72943624382864;1,41324132993318;0,0417256676641689;
600;60;5;277,070859398402;5,79792675080864;0,331616399473055;76,0516502186949;2,62340845227436;1,42223867987315;0,0380855590891933;
610;61;5;279,354475347215;5,84620168714479;0,321814393462333;73,8036952509866;2,52484259697278;1,4303852032299;0,0347072897644836;
620;62;5;281,433569473864;5,89015941091447;0,312510471172244;71,6699689190195;2,43354938021593;1,4377548834336;0,0315828359176145;
630;63;5;283,323887296969;5,93013107682366;0,303734553053859;69,6573330658232;2,34926790532709;1,44441659675447;0,0287020164523639;
640;64;5;285,040460486872;5,96643308416056;0,295501955030534;67,7693001873049;2,27168558605697;1,45043417396578;0,0260531273722346;
650;65;5;286,597532277361;5,99936544540946;0,287816132535876;66,0066627395322;2,20045480943451;1,45586654002325;0,0236234709246652;
660;66;5;288,008512544993;6,02921078888301;0,280671127368953;64,3680542912496;2,13520663135331;1,46076790912253;0,0213997887624675;
670;67;5;289,285956882474;6,05623387511587;0,274053703189801;62,850439270336;2,07556182823714;1,4651880170741;0,0193686097713002;
680;68;5;290,441564690249;6,08068152133468;0,267945174265457;61,4495323615005;2,02113964186082;1,46917237680315;0,0175165236009835;
690;69;5;291,486192004397;6,10278284289583;0,262322944528488;60,1601514681413;1,97156454741538;1,47276254599169;0,0158303906685973;
700;70;5;292,429875437574;6,12274973447221;0,257161781534107;58,9765098768507;1,92647135468569;1,47599639851038;0,0142974987154023;
710;71;5;293,281864213969;6,14077752655163;0,252434853744294;57,8924541442298;1,88550892436383;1,47890839341272;0,0129056750736183;
720;72;5;294,050657819628;6,15704576426503;0,248114560772477;56,9016545020619;1,84834275009987;1,48152983696402;0,011643362763829;
